,mean_phi,variance
0,0.09691468360027097,0.002478956005091144
1,0.08876384213879508,0.001971722448790898
2,0.09500591159394448,0.00015111479524418232
3,0.15746333508208799,0.009561428267084218
4,0.1017514984893855,0.0017531010794758668
5,0.09013416129873017,0.00023098870222511075
6,0.08505469329588757,0.001224736344575992
7,0.11609701414765825,0.002877497140409797
8,0.13277219525372724,0.00015389731404989864
9,0.15529130590338994,0.0007285578641206579
10,0.15821753438097472,0.0031137652433312233
11,0.13692690600486934,0.00023384755328654773
12,0.14159157986173102,0.0017768062690340695
13,0.1348234861414101,0.006957688658087064
14,0.12701111645632412,0.004858850251768386
